Crop_Year,District_Name,Crop,Season,Area,Production,Yield,annual_rainfall,rainfall_deviation,Switch_Prob,Risk_Level,Recommendation,Switched
1997,ANANTAPUR,Groundnut,Kharif     ,650800.0,228400.0,0.35095267363245236,972.1,399.4,0.03,Low,Stable — current crop likely to continue,0
1998,ANANTAPUR,Groundnut,Kharif     ,755200.0,867800.0,1.1490995762711864,1310.8,738.0999999999999,0.01,Low,Stable — current crop likely to continue,0
1999,ANANTAPUR,Groundnut,Kharif     ,694865.0,249457.0,0.35900066919473567,825.1,252.39999999999998,0.07,Low,Stable — current crop likely to continue,0
2000,ANANTAPUR,Groundnut,Kharif     ,791559.0,884963.0,1.1180000480065289,992.3,419.5999999999999,0.0,Low,Stable — current crop likely to continue,0
2001,ANANTAPUR,Groundnut,Kharif     ,758700.0,333828.0,0.44,1009.3,436.5999999999999,0.01,Low,Stable — current crop likely to continue,0
2002,ANANTAPUR,Groundnut,Kharif     ,732262.0,259953.0,0.35499998634368574,703.2,130.5,0.09,Low,Stable — current crop likely to continue,0
2003,ANANTAPUR,Groundnut,Kharif     ,670935.0,187862.0,0.28000029809146937,1096.8,524.0999999999999,0.02,Low,Stable — current crop likely to continue,0
2004,ANANTAPUR,Groundnut,Kharif     ,857823.0,684543.0,0.798000286772446,873.6,300.9,0.01,Low,Stable — current crop likely to continue,0
2005,ANANTAPUR,Groundnut,Kharif     ,877029.0,362213.0,0.4130000262249025,1221.6,648.8999999999999,0.02,Low,Stable — current crop likely to continue,0
2006,ANANTAPUR,Groundnut,Kharif     ,644007.0,43148.0,0.06699927174704623,1159.6,586.8999999999999,0.01,Low,Stable — current crop likely to continue,0
2007,ANANTAPUR,Groundnut,Kharif     ,876000.0,1102000.0,1.2579908675799087,1099.2,526.5,0.04,Low,Stable — current crop likely to continue,0
2008,ANANTAPUR,Groundnut,Kharif     ,853577.0,75115.0,0.08800026242506534,1107.5,534.8,0.0,Low,Stable — current crop likely to continue,0
2009,ANANTAPUR,Groundnut,Kharif     ,510874.0,113925.0,0.223000191828122,790.5,217.79999999999995,0.0,Low,Stable — current crop likely to continue,0
2010,ANANTAPUR,Groundnut,Kharif     ,814077.0,446928.0,0.5489996646508868,1712.4,1139.7,0.0,Low,Stable — current crop likely to continue,0
2011,ANANTAPUR,Groundnut,Kharif     ,733960.0,174682.0,0.23799934601340672,861.9,289.19999999999993,0.04,Low,Stable — current crop likely to continue,0
2012,ANANTAPUR,Groundnut,Kharif     ,708708.0,295531.0,0.416999666999667,1318.4,745.7,0.03,Low,Stable — current crop likely to continue,0
2013,ANANTAPUR,Groundnut,Kharif     ,711145.0,286591.0,0.40299938831040083,1120.5,547.8,0.04,Low,Stable — current crop likely to continue,0
2014,ANANTAPUR,Groundnut,Kharif     ,550794.0,148714.0,0.26999931008689276,874.9,302.19999999999993,0.01,Low,Stable — current crop likely to continue,0
1997,ANANTAPUR,Sunflower,Rabi       ,30100.0,11100.0,0.3687707641196013,972.1,399.4,0.43,Medium,Moderate risk — monitor rainfall and yield trends,0
1998,ANANTAPUR,Rice,Rabi       ,26600.0,63900.0,2.4022556390977443,1310.8,738.0999999999999,0.64,Medium,Moderate risk — monitor rainfall and yield trends,1
1999,ANANTAPUR,Gram,Rabi       ,26835.0,9365.0,0.3489845351220421,825.1,252.39999999999998,0.41,Medium,Moderate risk — monitor rainfall and yield trends,1
2000,ANANTAPUR,Gram,Rabi       ,33858.0,22685.0,0.6700041349164156,992.3,419.5999999999999,0.06,Low,Stable — current crop likely to continue,0
2001,ANANTAPUR,Gram,Rabi       ,47894.0,50145.0,1.046999624170042,1009.3,436.5999999999999,0.01,Low,Stable — current crop likely to continue,0
2002,ANANTAPUR,Gram,Rabi       ,54264.0,20186.0,0.37199616688780773,703.2,130.5,0.07,Low,Stable — current crop likely to continue,0
2003,ANANTAPUR,Gram,Rabi       ,51461.0,15438.0,0.2999941703425895,1096.8,524.0999999999999,0.02,Low,Stable — current crop likely to continue,0
2004,ANANTAPUR,Gram,Rabi       ,42106.0,9516.0,0.2260010449817128,873.6,300.9,0.31,Low,Stable — current crop likely to continue,0
2005,ANANTAPUR,Gram,Rabi       ,49105.0,48172.0,0.980999898177375,1221.6,648.8999999999999,0.04,Low,Stable — current crop likely to continue,0
